provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2014,24,39,2014.4528301886792
ALTO AMAZONAS,2014,25,24,2014.4716981132076
ALTO AMAZONAS,2014,26,38,2014.4905660377358
ALTO AMAZONAS,2014,27,54,2014.5094339622642
ALTO AMAZONAS,2014,28,31,2014.5283018867924
ALTO AMAZONAS,2014,29,30,2014.5471698113208
ALTO AMAZONAS,2014,30,16,2014.566037735849
ALTO AMAZONAS,2014,31,24,2014.5849056603774
ALTO AMAZONAS,2014,32,30,2014.6037735849056
ALTO AMAZONAS,2014,33,55,2014.622641509434
ALTO AMAZONAS,2014,34,39,2014.6415094339623
ALTO AMAZONAS,2014,35,23,2014.6603773584907
ALTO AMAZONAS,2014,36,12,2014.6792452830189
ALTO AMAZONAS,2014,37,61,2014.698113207547
ALTO AMAZONAS,2014,38,51,2014.7169811320755
ALTO AMAZONAS,2014,39,15,2014.7358490566037
ALTO AMAZONAS,2014,40,13,2014.754716981132
ALTO AMAZONAS,2014,41,10,2014.7735849056603
ALTO AMAZONAS,2014,42,58,2014.7924528301887
ALTO AMAZONAS,2014,43,17,2014.811320754717
ALTO AMAZONAS,2014,44,10,2014.8301886792453
ALTO AMAZONAS,2014,45,7,2014.8490566037735
ALTO AMAZONAS,2014,46,9,2014.867924528302
ALTO AMAZONAS,2014,47,24,2014.8867924528302
ALTO AMAZONAS,2014,48,16,2014.9056603773586
ALTO AMAZONAS,2014,49,7,2014.9245283018868
ALTO AMAZONAS,2014,50,37,2014.9433962264152
ALTO AMAZONAS,2014,51,11,2014.9622641509434
ALTO AMAZONAS,2014,52,1,2014.9811320754718
ALTO AMAZONAS,2014,53,7,2015.0
ALTO AMAZONAS,2015,1,8,2015.0188679245282
ALTO AMAZONAS,2015,2,16,2015.0377358490566
ALTO AMAZONAS,2015,3,3,2015.0566037735848
ALTO AMAZONAS,2015,4,11,2015.0754716981132
ALTO AMAZONAS,2015,5,10,2015.0943396226414
ALTO AMAZONAS,2015,6,18,2015.1132075471698
ALTO AMAZONAS,2015,7,17,2015.132075471698
ALTO AMAZONAS,2015,8,6,2015.1509433962265
ALTO AMAZONAS,2015,9,5,2015.1698113207547
ALTO AMAZONAS,2015,10,28,2015.188679245283
ALTO AMAZONAS,2015,11,31,2015.2075471698113
ALTO AMAZONAS,2015,12,7,2015.2264150943397
ALTO AMAZONAS,2015,13,8,2015.245283018868
ALTO AMAZONAS,2015,14,8,2015.2641509433963
ALTO AMAZONAS,2015,15,9,2015.2830188679245
ALTO AMAZONAS,2015,16,11,2015.301886792453
ALTO AMAZONAS,2015,17,24,2015.3207547169811
ALTO AMAZONAS,2015,18,17,2015.3396226415093
ALTO AMAZONAS,2015,19,20,2015.3584905660377
ALTO AMAZONAS,2015,20,16,2015.377358490566
ALTO AMAZONAS,2015,21,15,2015.3962264150944
ALTO AMAZONAS,2015,22,49,2015.4150943396226
ALTO AMAZONAS,2015,23,28,2015.433962264151
ALTO AMAZONAS,2015,24,12,2015.4528301886792
ALTO AMAZONAS,2015,25,8,2015.4716981132076
ALTO AMAZONAS,2015,26,27,2015.4905660377358
ALTO AMAZONAS,2015,27,29,2015.5094339622642
ALTO AMAZONAS,2015,28,16,2015.5283018867924
ALTO AMAZONAS,2015,29,17,2015.5471698113208
ALTO AMAZONAS,2015,30,22,2015.566037735849
ALTO AMAZONAS,2015,31,24,2015.5849056603774
ALTO AMAZONAS,2015,32,25,2015.6037735849056
ALTO AMAZONAS,2015,33,36,2015.622641509434
ALTO AMAZONAS,2015,34,34,2015.6415094339623
ALTO AMAZONAS,2015,35,48,2015.6603773584907
ALTO AMAZONAS,2015,36,33,2015.6792452830189
ALTO AMAZONAS,2015,37,38,2015.698113207547
ALTO AMAZONAS,2015,38,22,2015.7169811320755
ALTO AMAZONAS,2015,39,22,2015.7358490566037
ALTO AMAZONAS,2015,40,34,2015.754716981132
ALTO AMAZONAS,2015,41,22,2015.7735849056603
ALTO AMAZONAS,2015,42,26,2015.7924528301887
ALTO AMAZONAS,2015,43,24,2015.811320754717
ALTO AMAZONAS,2015,44,31,2015.8301886792453
ALTO AMAZONAS,2015,45,23,2015.8490566037735
ALTO AMAZONAS,2015,46,13,2015.867924528302
ALTO AMAZONAS,2015,47,19,2015.8867924528302
ALTO AMAZONAS,2015,48,36,2015.9056603773586
ALTO AMAZONAS,2015,49,16,2015.9245283018868
ALTO AMAZONAS,2015,50,8,2015.9433962264152
ALTO AMAZONAS,2015,51,14,2015.9622641509434
ALTO AMAZONAS,2015,52,13,2015.9811320754718
ALTO AMAZONAS,2016,1,12,2016.0188679245282
ALTO AMAZONAS,2016,2,9,2016.0377358490566
ALTO AMAZONAS,2016,3,13,2016.0566037735848
ALTO AMAZONAS,2016,4,15,2016.0754716981132
ALTO AMAZONAS,2016,5,30,2016.0943396226414
ALTO AMAZONAS,2016,6,33,2016.1132075471698
ALTO AMAZONAS,2016,7,32,2016.132075471698
ALTO AMAZONAS,2016,8,18,2016.1509433962265
ALTO AMAZONAS,2016,9,42,2016.1698113207547
ALTO AMAZONAS,2016,10,41,2016.188679245283
ALTO AMAZONAS,2016,11,29,2016.2075471698113
ALTO AMAZONAS,2016,12,54,2016.2264150943397
ALTO AMAZONAS,2016,13,25,2016.245283018868
ALTO AMAZONAS,2016,14,34,2016.2641509433963
ALTO AMAZONAS,2016,15,51,2016.2830188679245
ALTO AMAZONAS,2016,16,25,2016.301886792453
ALTO AMAZONAS,2016,17,23,2016.3207547169811
ALTO AMAZONAS,2016,18,32,2016.3396226415093
ALTO AMAZONAS,2016,19,28,2016.3584905660377
ALTO AMAZONAS,2016,20,34,2016.377358490566
ALTO AMAZONAS,2016,21,13,2016.3962264150944
ALTO AMAZONAS,2016,22,20,2016.4150943396226
ALTO AMAZONAS,2016,23,17,2016.433962264151
ALTO AMAZONAS,2016,24,20,2016.4528301886792
ALTO AMAZONAS,2016,25,12,2016.4716981132076
ALTO AMAZONAS,2016,26,23,2016.4905660377358
ALTO AMAZONAS,2016,27,27,2016.5094339622642
ALTO AMAZONAS,2016,28,48,2016.5283018867924
ALTO AMAZONAS,2016,29,21,2016.5471698113208
ALTO AMAZONAS,2016,30,23,2016.566037735849
ALTO AMAZONAS,2016,31,51,2016.5849056603774
ALTO AMAZONAS,2016,32,47,2016.6037735849056
ALTO AMAZONAS,2016,33,58,2016.622641509434
ALTO AMAZONAS,2016,34,34,2016.6415094339623
ALTO AMAZONAS,2016,35,36,2016.6603773584907
ALTO AMAZONAS,2016,36,50,2016.6792452830189
ALTO AMAZONAS,2016,37,39,2016.698113207547
ALTO AMAZONAS,2016,38,21,2016.7169811320755
ALTO AMAZONAS,2016,39,37,2016.7358490566037
ALTO AMAZONAS,2016,40,47,2016.754716981132
ALTO AMAZONAS,2016,41,35,2016.7735849056603
ALTO AMAZONAS,2016,42,30,2016.7924528301887
